group,variable,value
Bangladesh,1,3
Bangladesh,2,2
Bangladesh,3,5
Bangladesh,4,9
Bangladesh,5,18
Bangladesh,6,35
Bangladesh,7,41
Bangladesh,8,54
Bangladesh,9,112
Bangladesh,10,94
Bangladesh,11,58
Bangladesh,12,139
Bangladesh,13,182
Bangladesh,14,209
Bangladesh,15,219
Bangladesh,16,341
Bangladesh,17,266
Bangladesh,18,306
Bangladesh,19,312
Bangladesh,20,492
Bangladesh,21,434
Bangladesh,22,390
Bangladesh,23,414
Bangladesh,24,503
Bangladesh,25,309
Bangladesh,26,418
Bangladesh,27,497
Bangladesh,28,549
Bangladesh,29,641
Bangladesh,30,564
Brazil,1,1119
Brazil,2,1208
Brazil,3,1012
Brazil,4,1304
Brazil,5,770
Brazil,6,1031
Brazil,7,1873
Brazil,8,2136
Brazil,9,1922
Brazil,10,1546
Brazil,11,1089
Brazil,12,1465
Brazil,13,1238
Brazil,14,1832
Brazil,15,3058
Brazil,16,2105
Brazil,17,3257
Brazil,18,2976
Brazil,19,1996
Brazil,20,2089
Brazil,21,2336
Brazil,22,2678
Brazil,23,4279
Brazil,24,4007
Brazil,25,5281
Brazil,26,3776
Brazil,27,4346
Brazil,28,5789
Brazil,29,6450
Brazil,30,7502
China,1,31
China,2,34
China,3,36
China,4,15
China,5,31
China,6,39
China,7,32
China,8,66
China,9,61
China,10,42
China,11,62
China,12,116
China,13,74
China,14,90
China,15,45
China,16,47
China,17,353
China,18,24
China,19,17
China,20,12
China,21,32
China,22,11
China,23,14
China,24,15
China,25,8
China,26,3
China,27,6
China,28,22
China,29,4
China,30,12
India,1,601
India,2,545
India,3,24
India,4,515
India,5,506
India,6,1190
India,7,533
India,8,605
India,9,809
India,10,873
India,11,848
India,12,759
India,13,1248
India,14,1034
India,15,835
India,16,1108
India,17,922
India,18,1370
India,19,1893
India,20,924
India,21,1541
India,22,1290
India,23,1707
India,24,1453
India,25,1753
India,26,1607
India,27,1561
India,28,1873
India,29,1738
India,30,1801
Indonesia,1,149
Indonesia,2,113
Indonesia,3,196
Indonesia,4,106
Indonesia,5,181
Indonesia,6,218
Indonesia,7,247
Indonesia,8,218
Indonesia,9,337
Indonesia,10,219
Indonesia,11,330
Indonesia,12,399
Indonesia,13,316
Indonesia,14,282
Indonesia,15,297
Indonesia,16,380
Indonesia,17,407
Indonesia,18,325
Indonesia,19,327
Indonesia,20,185
Indonesia,21,375
Indonesia,22,283
Indonesia,23,357
Indonesia,24,436
Indonesia,25,396
Indonesia,26,275
Indonesia,27,214
Indonesia,28,415
Indonesia,29,260
Indonesia,30,347
Mexico,1,163
Mexico,2,132
Mexico,3,178
Mexico,4,202
Mexico,5,253
Mexico,6,296
Mexico,7,346
Mexico,8,396
Mexico,9,260
Mexico,10,403
Mexico,11,375
Mexico,12,442
Mexico,13,353
Mexico,14,385
Mexico,15,448
Mexico,16,450
Mexico,17,578
Mexico,18,622
Mexico,19,764
Mexico,20,511
Mexico,21,729
Mexico,22,1043
Mexico,23,1089
Mexico,24,1239
Mexico,25,970
Mexico,26,835
Mexico,27,852
Mexico,28,1223
Mexico,29,1047
Mexico,30,1425
Nigeria,1,39
Nigeria,2,10
Nigeria,3,26
Nigeria,4,4
Nigeria,5,18
Nigeria,6,6
Nigeria,7,16
Nigeria,8,22
Nigeria,9,12
Nigeria,10,17
Nigeria,11,13
Nigeria,12,5
Nigeria,13,20
Nigeria,14,30
Nigeria,15,34
Nigeria,16,35
Nigeria,17,51
Nigeria,18,49
Nigeria,19,85
Nigeria,20,38
Nigeria,21,0
Nigeria,22,208
Nigeria,23,108
Nigeria,24,114
Nigeria,25,87
Nigeria,26,91
Nigeria,27,64
Nigeria,28,195
Nigeria,29,196
Nigeria,30,204
Pakistan,1,303
Pakistan,2,265
Pakistan,3,132
Pakistan,4,339
Pakistan,5,609
Pakistan,6,269
Pakistan,7,228
Pakistan,8,226
Pakistan,9,206
Pakistan,10,316
Pakistan,11,219
Pakistan,12,266
Pakistan,13,341
Pakistan,14,546
Pakistan,15,536
Pakistan,16,106
Pakistan,17,613
Pakistan,18,710
Pakistan,19,70
Pakistan,20,1147
Pakistan,21,511
Pakistan,22,1079
Pakistan,23,785
Pakistan,24,783
Pakistan,25,605
Pakistan,26,587
Pakistan,27,697
Pakistan,28,913
Pakistan,29,1292
Pakistan,30,1297
Russia,1,440
Russia,2,771
Russia,3,601
Russia,4,582
Russia,5,658
Russia,6,954
Russia,7,1154
Russia,8,1175
Russia,9,1459
Russia,10,1786
Russia,11,1667
Russia,12,2186
Russia,13,2558
Russia,14,2774
Russia,15,3388
Russia,16,3448
Russia,17,4070
Russia,18,4785
Russia,19,6060
Russia,20,4268
Russia,21,5642
Russia,22,5236
Russia,23,4774
Russia,24,5849
Russia,25,5966
Russia,26,6361
Russia,27,6198
Russia,28,6411
Russia,29,5841
Russia,30,7099
USA,1,32286
USA,2,32222
USA,3,32307
USA,4,32386
USA,5,29895
USA,6,31390
USA,7,30779
USA,8,31235
USA,9,35942
USA,10,34403
USA,11,29083
USA,12,27256
USA,13,26939
USA,14,28818
USA,15,25408
USA,16,30002
USA,17,33066
USA,18,27907
USA,19,26062
USA,20,29820
USA,21,25926
USA,22,28911
USA,23,33612
USA,24,32327
USA,25,30380
USA,26,26488
USA,27,23715
USA,28,24575
USA,29,26459
USA,30,29205
