group,variable,value
Bangladesh,1,2199
Bangladesh,2,886
Bangladesh,3,1356
Bangladesh,4,1918
Bangladesh,5,2654
Bangladesh,6,2977
Bangladesh,7,2851
Bangladesh,8,2611
Bangladesh,9,2487
Bangladesh,10,2907
Bangladesh,11,2996
Bangladesh,12,2995
Bangladesh,13,2617
Bangladesh,14,2766
Bangladesh,15,2644
Bangladesh,16,2024
Bangladesh,17,2595
Bangladesh,18,3200
Bangladesh,19,2747
Bangladesh,20,2868
Bangladesh,21,2401
Bangladesh,22,2265
Bangladesh,23,1973
Bangladesh,24,2485
Bangladesh,25,2545
Bangladesh,26,2519
Bangladesh,27,2436
Bangladesh,28,2211
Bangladesh,29,2131
Bangladesh,30,1897
Bangladesh,31,2174
Brazil,1,45392
Brazil,2,25800
Brazil,3,16641
Brazil,4,51603
Brazil,5,57152
Brazil,6,53139
Brazil,7,50230
Brazil,8,49970
Brazil,9,23010
Brazil,10,22048
Brazil,11,52160
Brazil,12,55155
Brazil,13,60091
Brazil,14,50644
Brazil,15,41576
Brazil,16,23101
Brazil,17,19373
Brazil,18,47784
Brazil,19,49298
Brazil,20,45323
Brazil,21,30355
Brazil,22,50032
Brazil,23,23421
Brazil,24,17078
Brazil,25,47134
Brazil,26,47161
Brazil,27,44235
Brazil,28,43412
Brazil,29,41350
Brazil,30,16158
Brazil,31,45961
China,1,48
China,2,43
China,3,36
China,4,27
China,5,37
China,6,37
China,7,31
China,8,23
China,9,49
China,10,44
China,11,19
China,12,25
China,13,30
China,14,22
China,15,19
China,16,22
China,17,22
China,18,17
China,19,7
China,20,22
China,21,22
China,22,12
China,23,16
China,24,14
China,25,15
China,26,8
China,27,9
China,28,9
China,29,9
China,30,17
China,31,10
India,1,54735
India,2,52972
India,3,52050
India,4,52509
India,5,56282
India,6,62538
India,7,61537
India,8,64399
India,9,62064
India,10,53601
India,11,60963
India,12,66999
India,13,64553
India,14,64732
India,15,64030
India,16,57711
India,17,55018
India,18,64572
India,19,69672
India,20,68900
India,21,69876
India,22,69239
India,23,61408
India,24,60975
India,25,57224
India,26,85687
India,27,77266
India,28,76472
India,29,78761
India,30,78512
India,31,69921
Indonesia,1,1560
Indonesia,2,1519
Indonesia,3,1679
Indonesia,4,1922
Indonesia,5,1815
Indonesia,6,1882
Indonesia,7,2473
Indonesia,8,2277
Indonesia,9,1893
Indonesia,10,1687
Indonesia,11,1693
Indonesia,12,1942
Indonesia,13,2098
Indonesia,14,2307
Indonesia,15,2345
Indonesia,16,2081
Indonesia,17,1821
Indonesia,18,1673
Indonesia,19,1902
Indonesia,20,2266
Indonesia,21,2197
Indonesia,22,2090
Indonesia,23,2037
Indonesia,24,1877
Indonesia,25,2447
Indonesia,26,2306
Indonesia,27,2719
Indonesia,28,3003
Indonesia,29,3308
Indonesia,30,2858
Indonesia,31,2743
Mexico,1,9556
Mexico,2,4853
Mexico,3,4767
Mexico,4,6148
Mexico,5,6139
Mexico,6,6590
Mexico,7,6717
Mexico,8,6495
Mexico,9,4376
Mexico,10,5558
Mexico,11,6686
Mexico,12,5858
Mexico,13,7371
Mexico,14,5618
Mexico,15,6345
Mexico,16,4448
Mexico,17,3571
Mexico,18,5506
Mexico,19,5792
Mexico,20,6775
Mexico,21,5928
Mexico,22,6482
Mexico,23,3948
Mexico,24,3541
Mexico,25,4916
Mexico,26,5267
Mexico,27,6026
Mexico,28,5824
Mexico,29,5974
Mexico,30,4129
Mexico,31,3719
Nigeria,1,386
Nigeria,2,304
Nigeria,3,288
Nigeria,4,304
Nigeria,5,457
Nigeria,6,354
Nigeria,7,443
Nigeria,8,453
Nigeria,9,437
Nigeria,10,290
Nigeria,11,423
Nigeria,12,453
Nigeria,13,373
Nigeria,14,329
Nigeria,15,325
Nigeria,16,298
Nigeria,17,417
Nigeria,18,410
Nigeria,19,593
Nigeria,20,476
Nigeria,21,340
Nigeria,22,601
Nigeria,23,322
Nigeria,24,321
Nigeria,25,252
Nigeria,26,221
Nigeria,27,296
Nigeria,28,160
Nigeria,29,250
Nigeria,30,138
Nigeria,31,143
Pakistan,1,0
Pakistan,2,1394
Pakistan,3,762
Pakistan,4,0
Pakistan,5,675
Pakistan,6,727
Pakistan,7,782
Pakistan,8,842
Pakistan,9,634
Pakistan,10,539
Pakistan,11,531
Pakistan,12,730
Pakistan,13,753
Pakistan,14,626
Pakistan,15,747
Pakistan,16,1168
Pakistan,17,0
Pakistan,18,617
Pakistan,19,613
Pakistan,20,513
Pakistan,21,630
Pakistan,22,586
Pakistan,23,1087
Pakistan,24,0
Pakistan,25,450
Pakistan,26,482
Pakistan,27,445
Pakistan,28,415
Pakistan,29,319
Pakistan,30,264
Pakistan,31,213
Russia,1,5429
Russia,2,5387
Russia,3,5364
Russia,4,5121
Russia,5,5186
Russia,6,5239
Russia,7,5191
Russia,8,5185
Russia,9,5155
Russia,10,5081
Russia,11,4892
Russia,12,5054
Russia,13,5017
Russia,14,5016
Russia,15,5030
Russia,16,4911
Russia,17,4839
Russia,18,4718
Russia,19,4790
Russia,20,4767
Russia,21,4838
Russia,22,4860
Russia,23,4797
Russia,24,4688
Russia,25,4639
Russia,26,4642
Russia,27,4675
Russia,28,4758
Russia,29,4843
Russia,30,4897
Russia,31,4932
USA,1,56201
USA,2,45568
USA,3,45501
USA,4,58774
USA,5,54466
USA,6,59349
USA,7,59303
USA,8,54134
USA,9,45769
USA,10,47606
USA,11,48003
USA,12,56040
USA,13,51316
USA,14,65336
USA,15,46951
USA,16,39212
USA,17,36652
USA,18,45033
USA,19,47320
USA,20,44041
USA,21,48843
USA,22,43064
USA,23,34247
USA,24,36482
USA,25,40354
USA,26,45172
USA,27,45393
USA,28,46832
USA,29,42754
USA,30,34404
USA,31,35362
