group,variable,value
Bangladesh,1,2381
Bangladesh,2,2911
Bangladesh,3,2695
Bangladesh,4,2423
Bangladesh,5,2828
Bangladesh,6,2635
Bangladesh,7,2743
Bangladesh,8,2735
Bangladesh,9,3171
Bangladesh,10,3190
Bangladesh,11,3187
Bangladesh,12,3471
Bangladesh,13,2856
Bangladesh,14,3141
Bangladesh,15,3099
Bangladesh,16,3862
Bangladesh,17,4008
Bangladesh,18,3803
Bangladesh,19,3243
Bangladesh,20,3240
Bangladesh,21,3531
Bangladesh,22,3480
Bangladesh,23,3412
Bangladesh,24,3462
Bangladesh,25,3946
Bangladesh,26,3868
Bangladesh,27,3504
Bangladesh,28,3809
Bangladesh,29,4014
Bangladesh,30,3682
Brazil,1,11598
Brazil,2,28936
Brazil,3,28633
Brazil,4,30925
Brazil,5,30830
Brazil,6,27075
Brazil,7,18912
Brazil,8,15654
Brazil,9,32091
Brazil,10,32913
Brazil,11,30412
Brazil,12,25982
Brazil,13,21704
Brazil,14,17110
Brazil,15,20647
Brazil,16,34918
Brazil,17,32188
Brazil,18,22765
Brazil,19,54771
Brazil,20,34666
Brazil,21,15762
Brazil,22,23129
Brazil,23,39436
Brazil,24,42725
Brazil,25,39483
Brazil,26,46860
Brazil,27,38693
Brazil,28,30476
Brazil,29,24052
Brazil,30,33846
China,1,5
China,2,1
China,3,-1
China,4,5
China,5,3
China,6,6
China,7,4
China,8,3
China,9,3
China,10,11
China,11,7
China,12,11
China,13,57
China,14,49
China,15,40
China,16,44
China,17,28
China,18,32
China,19,0
China,20,55
China,21,16
China,22,22
China,23,13
China,24,18
China,25,14
China,26,21
China,27,17
China,28,12
China,29,19
China,30,3
India,1,7761
India,2,8821
India,3,9633
India,4,9889
India,5,9471
India,6,10438
India,7,10864
India,8,8442
India,9,10218
India,10,10459
India,11,10930
India,12,11458
India,13,11929
India,14,11502
India,15,10667
India,16,10974
India,17,12881
India,18,13586
India,19,14516
India,20,15403
India,21,14831
India,22,14933
India,23,15968
India,24,16922
India,25,17296
India,26,18552
India,27,19906
India,28,19459
India,29,18522
India,30,18641
Indonesia,1,467
Indonesia,2,609
Indonesia,3,684
Indonesia,4,585
Indonesia,5,703
Indonesia,6,993
Indonesia,7,672
Indonesia,8,847
Indonesia,9,1043
Indonesia,10,1240
Indonesia,11,979
Indonesia,12,1111
Indonesia,13,1014
Indonesia,14,857
Indonesia,15,1017
Indonesia,16,1106
Indonesia,17,1031
Indonesia,18,1331
Indonesia,19,1041
Indonesia,20,1226
Indonesia,21,862
Indonesia,22,954
Indonesia,23,1051
Indonesia,24,1113
Indonesia,25,1178
Indonesia,26,1240
Indonesia,27,1385
Indonesia,28,1198
Indonesia,29,1082
Indonesia,30,1293
Mexico,1,2771
Mexico,2,3891
Mexico,3,3912
Mexico,4,4442
Mexico,5,4346
Mexico,6,3593
Mexico,7,3484
Mexico,8,2999
Mexico,9,4199
Mexico,10,4883
Mexico,11,4790
Mexico,12,5222
Mexico,13,3494
Mexico,14,4147
Mexico,15,3427
Mexico,16,4599
Mexico,17,4930
Mexico,18,5662
Mexico,19,5030
Mexico,20,4717
Mexico,21,5343
Mexico,22,4577
Mexico,23,6288
Mexico,24,5437
Mexico,25,6104
Mexico,26,5441
Mexico,27,4410
Mexico,28,4050
Mexico,29,3805
Mexico,30,5432
Nigeria,1,416
Nigeria,2,241
Nigeria,3,347
Nigeria,4,350
Nigeria,5,328
Nigeria,6,389
Nigeria,7,253
Nigeria,8,315
Nigeria,9,663
Nigeria,10,409
Nigeria,11,681
Nigeria,12,627
Nigeria,13,501
Nigeria,14,403
Nigeria,15,573
Nigeria,16,490
Nigeria,17,587
Nigeria,18,745
Nigeria,19,667
Nigeria,20,661
Nigeria,21,436
Nigeria,22,675
Nigeria,23,452
Nigeria,24,649
Nigeria,25,594
Nigeria,26,684
Nigeria,27,779
Nigeria,28,490
Nigeria,29,566
Nigeria,30,561
Pakistan,1,3938
Pakistan,2,4065
Pakistan,3,4801
Pakistan,4,3985
Pakistan,5,4734
Pakistan,6,4960
Pakistan,7,4728
Pakistan,8,4646
Pakistan,9,5385
Pakistan,10,5834
Pakistan,11,6397
Pakistan,12,0
Pakistan,13,6472
Pakistan,14,12073
Pakistan,15,4443
Pakistan,16,5839
Pakistan,17,5358
Pakistan,18,4944
Pakistan,19,6604
Pakistan,20,4951
Pakistan,21,4471
Pakistan,22,3946
Pakistan,23,3892
Pakistan,24,4044
Pakistan,25,2775
Pakistan,26,3138
Pakistan,27,4072
Pakistan,28,3557
Pakistan,29,2825
Pakistan,30,4133
Russia,1,8485
Russia,2,8858
Russia,3,8529
Russia,4,8823
Russia,5,8718
Russia,6,8846
Russia,7,8971
Russia,8,8970
Russia,9,8587
Russia,10,8393
Russia,11,8777
Russia,12,8961
Russia,13,8697
Russia,14,8809
Russia,15,8217
Russia,16,8241
Russia,17,7824
Russia,18,7772
Russia,19,7971
Russia,20,7870
Russia,21,7717
Russia,22,7586
Russia,23,7413
Russia,24,7165
Russia,25,7105
Russia,26,6788
Russia,27,6843
Russia,28,6784
Russia,29,6683
Russia,30,6683
USA,1,17414
USA,2,21502
USA,3,19857
USA,4,21658
USA,5,25403
USA,6,21142
USA,7,17928
USA,8,17616
USA,9,18383
USA,10,21111
USA,11,23166
USA,12,24828
USA,13,25212
USA,14,18941
USA,15,19827
USA,16,23667
USA,17,27072
USA,18,28537
USA,19,31544
USA,20,32280
USA,21,25150
USA,22,32144
USA,23,37072
USA,24,35878
USA,25,40326
USA,26,45999
USA,27,41330
USA,28,40734
USA,29,41299
USA,30,46420
