group,variable,value
Bangladesh,1,571
Bangladesh,2,552
Bangladesh,3,665
Bangladesh,4,688
Bangladesh,5,786
Bangladesh,6,790
Bangladesh,7,706
Bangladesh,8,709
Bangladesh,9,636
Bangladesh,10,887
Bangladesh,11,1034
Bangladesh,12,969
Bangladesh,13,1162
Bangladesh,14,1041
Bangladesh,15,1202
Bangladesh,16,930
Bangladesh,17,1273
Bangladesh,18,1602
Bangladesh,19,1251
Bangladesh,20,1617
Bangladesh,21,1773
Bangladesh,22,1694
Bangladesh,23,1873
Bangladesh,24,1532
Bangladesh,25,1975
Bangladesh,26,1166
Bangladesh,27,1541
Bangladesh,28,2029
Bangladesh,29,2523
Bangladesh,30,1764
Bangladesh,31,2545
Brazil,1,5015
Brazil,2,4898
Brazil,3,4726
Brazil,4,6794
Brazil,5,6835
Brazil,6,11156
Brazil,7,9162
Brazil,8,11121
Brazil,9,9167
Brazil,10,6638
Brazil,11,6895
Brazil,12,8620
Brazil,13,11923
Brazil,14,13028
Brazil,15,17126
Brazil,16,13220
Brazil,17,7569
Brazil,18,14288
Brazil,19,16517
Brazil,20,19694
Brazil,21,18508
Brazil,22,20803
Brazil,23,16508
Brazil,24,15813
Brazil,25,11687
Brazil,26,16324
Brazil,27,20599
Brazil,28,26417
Brazil,29,26928
Brazil,30,33274
Brazil,31,16409
China,1,1
China,2,0
China,3,5
China,4,1
China,5,2
China,6,2
China,7,1
China,8,1
China,9,14
China,10,17
China,11,1
China,12,7
China,13,3
China,14,4
China,15,8
China,16,6
China,17,7
China,18,9
China,19,0
China,20,0
China,21,0
China,22,8
China,23,3
China,24,11
China,25,7
China,26,1
China,27,2
China,28,0
China,29,4
China,30,2
China,31,16
India,1,2394
India,2,2442
India,3,2806
India,4,3932
India,5,2963
India,6,3587
India,7,3364
India,8,3344
India,9,3113
India,10,4353
India,11,3607
India,12,3524
India,13,3763
India,14,3942
India,15,3787
India,16,4864
India,17,5050
India,18,4630
India,19,6147
India,20,5553
India,21,6198
India,22,6568
India,23,6629
India,24,7113
India,25,6414
India,26,5843
India,27,7293
India,28,7300
India,29,8105
India,30,8336
India,31,8782
Indonesia,1,433
Indonesia,2,292
Indonesia,3,349
Indonesia,4,395
Indonesia,5,484
Indonesia,6,367
Indonesia,7,338
Indonesia,8,336
Indonesia,9,533
Indonesia,10,387
Indonesia,11,233
