group,variable,value
Bangladesh,1,1508
Bangladesh,2,1396
Bangladesh,3,1182
Bangladesh,4,1125
Bangladesh,5,1442
Bangladesh,6,1499
Bangladesh,7,1520
Bangladesh,8,1441
Bangladesh,9,1278
Bangladesh,10,1203
Bangladesh,11,1193
Bangladesh,12,1472
Bangladesh,13,1537
Bangladesh,14,1684
Bangladesh,15,1600
Bangladesh,16,1527
Bangladesh,17,1209
Bangladesh,18,1274
Bangladesh,19,1637
Bangladesh,20,1380
Bangladesh,21,1545
Bangladesh,22,1696
Bangladesh,23,1586
Bangladesh,24,1094
Bangladesh,25,1308
Bangladesh,26,1436
Bangladesh,27,1335
Bangladesh,28,1493
Bangladesh,29,1681
Bangladesh,30,1604
Bangladesh,31,1320
Brazil,1,36157
Brazil,2,0
Brazil,3,59741
Brazil,4,8456
Brazil,5,11946
Brazil,6,41906
Brazil,7,31553
Brazil,8,27750
Brazil,9,27444
Brazil,10,26749
Brazil,11,12342
Brazil,12,8429
Brazil,13,10220
Brazil,14,27235
Brazil,15,28523
Brazil,16,30914
Brazil,17,24062
Brazil,18,0
Brazil,19,26365
Brazil,20,23227
Brazil,21,24818
Brazil,22,24858
Brazil,23,30026
Brazil,24,26979
Brazil,25,13493
Brazil,26,15726
Brazil,27,29787
Brazil,28,28629
Brazil,29,26106
Brazil,30,22282
Brazil,31,18947
China,1,12
China,2,10
China,3,16
China,4,20
China,5,12
China,6,7
China,7,9
China,8,23
China,9,15
China,10,21
China,11,27
China,12,7
China,13,20
China,14,11
China,15,24
China,16,13
China,17,13
China,18,13
China,19,19
China,20,11
China,21,14
China,22,18
China,23,31
China,24,15
China,25,17
China,26,16
China,27,42
China,28,47
China,29,25
China,30,33
China,31,24
India,1,81484
India,2,79476
India,3,75829
India,4,74442
India,5,61267
India,6,72049
India,7,78524
India,8,70496
India,9,73272
India,10,74383
India,11,66732
India,12,55342
India,13,63509
India,14,67708
India,15,63371
India,16,62212
India,17,61871
India,18,55722
India,19,46790
India,20,54044
India,21,55839
India,22,54366
India,23,53370
India,24,50129
India,25,45148
India,26,36470
India,27,43893
India,28,49881
India,29,48648
India,30,48268
India,31,46963
Indonesia,1,4174
Indonesia,2,4317
Indonesia,3,4007
Indonesia,4,3992
Indonesia,5,3622
Indonesia,6,4056
Indonesia,7,4538
Indonesia,8,4850
Indonesia,9,4094
Indonesia,10,4294
Indonesia,11,4497
Indonesia,12,3267
Indonesia,13,3906
Indonesia,14,4127
Indonesia,15,4411
Indonesia,16,4301
Indonesia,17,4301
Indonesia,18,4105
Indonesia,19,3373
Indonesia,20,3602
Indonesia,21,4267
Indonesia,22,4432
Indonesia,23,4369
Indonesia,24,4070
Indonesia,25,3732
Indonesia,26,3222
Indonesia,27,3520
Indonesia,28,4029
Indonesia,29,3565
Indonesia,30,2897
Indonesia,31,3143
Mexico,1,5099
Mexico,2,4775
Mexico,3,4863
Mexico,4,3712
Mexico,5,28115
Mexico,6,4828
Mexico,7,4580
Mexico,8,5300
Mexico,9,5532
Mexico,10,4308
Mexico,11,3175
Mexico,12,3542
Mexico,13,4295
Mexico,14,4056
Mexico,15,5514
Mexico,16,6751
Mexico,17,5447
Mexico,18,4119
Mexico,19,3699
Mexico,20,5788
Mexico,21,6845
Mexico,22,6612
Mexico,23,6604
Mexico,24,6025
Mexico,25,4360
Mexico,26,4166
Mexico,27,5942
Mexico,28,5595
Mexico,29,5948
Mexico,30,6000
Mexico,31,6151
Nigeria,1,153
Nigeria,2,126
Nigeria,3,160
Nigeria,4,58
Nigeria,5,120
Nigeria,6,118
Nigeria,7,155
Nigeria,8,103
Nigeria,9,151
Nigeria,10,111
Nigeria,11,163
Nigeria,12,164
Nigeria,13,225
Nigeria,14,179
Nigeria,15,148
Nigeria,16,212
