location,date,new_cases
Bangladesh,3/3/2020,
Bangladesh,3/4/2020,
Bangladesh,3/5/2020,
Bangladesh,3/6/2020,
Bangladesh,3/7/2020,
Bangladesh,3/8/2020,3
Bangladesh,3/9/2020,0
Bangladesh,3/10/2020,0
Bangladesh,3/11/2020,0
Bangladesh,3/12/2020,0
Bangladesh,3/13/2020,0
Bangladesh,3/14/2020,0
Bangladesh,3/15/2020,2
Bangladesh,3/16/2020,3
Bangladesh,3/17/2020,2
Bangladesh,3/18/2020,4
Bangladesh,3/19/2020,3
Bangladesh,3/20/2020,3
Bangladesh,3/21/2020,5
Bangladesh,3/22/2020,2
Bangladesh,3/23/2020,6
Bangladesh,3/24/2020,6
Bangladesh,3/25/2020,0
Bangladesh,3/26/2020,5
Bangladesh,3/27/2020,4
Bangladesh,3/28/2020,0
Bangladesh,3/29/2020,0
Bangladesh,3/30/2020,1
Bangladesh,3/31/2020,2
Bangladesh,4/1/2020,3
Bangladesh,4/2/2020,2
Bangladesh,4/3/2020,5
Bangladesh,4/4/2020,9
Bangladesh,4/5/2020,18
Bangladesh,4/6/2020,35
Bangladesh,4/7/2020,41
Bangladesh,4/8/2020,54
Bangladesh,4/9/2020,112
Bangladesh,4/10/2020,94
Bangladesh,4/11/2020,58
Bangladesh,4/12/2020,139
Bangladesh,4/13/2020,182
Bangladesh,4/14/2020,209
Bangladesh,4/15/2020,219
Bangladesh,4/16/2020,341
Bangladesh,4/17/2020,266
Bangladesh,4/18/2020,306
Bangladesh,4/19/2020,312
Bangladesh,4/20/2020,492
Bangladesh,4/21/2020,434
Bangladesh,4/22/2020,390
Bangladesh,4/23/2020,414
Bangladesh,4/24/2020,503
Bangladesh,4/25/2020,309
Bangladesh,4/26/2020,418
Bangladesh,4/27/2020,497
Bangladesh,4/28/2020,549
Bangladesh,4/29/2020,641
Bangladesh,4/30/2020,564
Bangladesh,5/1/2020,571
Bangladesh,5/2/2020,552
Bangladesh,5/3/2020,665
Bangladesh,5/4/2020,688
Bangladesh,5/5/2020,786
Bangladesh,5/6/2020,790
Bangladesh,5/7/2020,706
Bangladesh,5/8/2020,709
Bangladesh,5/9/2020,636
Bangladesh,5/10/2020,887
Bangladesh,5/11/2020,1034
Bangladesh,5/12/2020,969
Bangladesh,5/13/2020,1162
Bangladesh,5/14/2020,1041
Bangladesh,5/15/2020,1202
Bangladesh,5/16/2020,930
Bangladesh,5/17/2020,1273
Bangladesh,5/18/2020,1602
Bangladesh,5/19/2020,1251
Bangladesh,5/20/2020,1617
Bangladesh,5/21/2020,1773
Bangladesh,5/22/2020,1694
Bangladesh,5/23/2020,1873
Bangladesh,5/24/2020,1532
Bangladesh,5/25/2020,1975
Bangladesh,5/26/2020,1166
Bangladesh,5/27/2020,1541
Bangladesh,5/28/2020,2029
Bangladesh,5/29/2020,2523
Bangladesh,5/30/2020,1764
Bangladesh,5/31/2020,2545
Bangladesh,6/1/2020,2381
Bangladesh,6/2/2020,2911
Bangladesh,6/3/2020,2695
Bangladesh,6/4/2020,2423
Bangladesh,6/5/2020,2828
Bangladesh,6/6/2020,2635
Bangladesh,6/7/2020,2743
Bangladesh,6/8/2020,2735
Bangladesh,6/9/2020,3171
Bangladesh,6/10/2020,3190
Bangladesh,6/11/2020,3187
Bangladesh,6/12/2020,3471
Bangladesh,6/13/2020,2856
Bangladesh,6/14/2020,3141
Bangladesh,6/15/2020,3099
Bangladesh,6/16/2020,3862
Bangladesh,6/17/2020,4008
Bangladesh,6/18/2020,3803
Bangladesh,6/19/2020,3243
Bangladesh,6/20/2020,3240
Bangladesh,6/21/2020,3531
Bangladesh,6/22/2020,3480
Bangladesh,6/23/2020,3412
Bangladesh,6/24/2020,3462
Bangladesh,6/25/2020,3946
Bangladesh,6/26/2020,3868
Bangladesh,6/27/2020,3504
Bangladesh,6/28/2020,3809
Bangladesh,6/29/2020,4014
Bangladesh,6/30/2020,3682
Bangladesh,7/1/2020,3775
Bangladesh,7/2/2020,4019
Bangladesh,7/3/2020,3114
Bangladesh,7/4/2020,3288
Bangladesh,7/5/2020,2738
Bangladesh,7/6/2020,3201
Bangladesh,7/7/2020,3027
Bangladesh,7/8/2020,3489
Bangladesh,7/9/2020,3360
Bangladesh,7/10/2020,2949
Bangladesh,7/11/2020,2686
Bangladesh,7/12/2020,2666
Bangladesh,7/13/2020,3099
Bangladesh,7/14/2020,3163
Bangladesh,7/15/2020,3533
Bangladesh,7/16/2020,2733
Bangladesh,7/17/2020,3034
Bangladesh,7/18/2020,2709
Bangladesh,7/19/2020,2459
Bangladesh,7/20/2020,2928
Bangladesh,7/21/2020,3057
Bangladesh,7/22/2020,2744
Bangladesh,7/23/2020,2856
Bangladesh,7/24/2020,2548
Bangladesh,7/25/2020,2520
Bangladesh,7/26/2020,2275
Bangladesh,7/27/2020,2772
Bangladesh,7/28/2020,2960
Bangladesh,7/29/2020,3009
Bangladesh,7/30/2020,2695
Bangladesh,7/31/2020,2772
Bangladesh,8/1/2020,2199
Bangladesh,8/2/2020,886
Bangladesh,8/3/2020,1356
Bangladesh,8/4/2020,1918
Bangladesh,8/5/2020,2654
Bangladesh,8/6/2020,2977
Bangladesh,8/7/2020,2851
Bangladesh,8/8/2020,2611
Bangladesh,8/9/2020,2487
Bangladesh,8/10/2020,2907
Bangladesh,8/11/2020,2996
Bangladesh,8/12/2020,2995
Bangladesh,8/13/2020,2617
Bangladesh,8/14/2020,2766
Bangladesh,8/15/2020,2644
Bangladesh,8/16/2020,2024
Bangladesh,8/17/2020,2595
Bangladesh,8/18/2020,3200
Bangladesh,8/19/2020,2747
Bangladesh,8/20/2020,2868
Bangladesh,8/21/2020,2401
Bangladesh,8/22/2020,2265
Bangladesh,8/23/2020,1973
Bangladesh,8/24/2020,2485
Bangladesh,8/25/2020,2545
Bangladesh,8/26/2020,2519
Bangladesh,8/27/2020,2436
Bangladesh,8/28/2020,2211
Bangladesh,8/29/2020,2131
Bangladesh,8/30/2020,1897
Bangladesh,8/31/2020,2174
Bangladesh,9/1/2020,1950
Bangladesh,9/2/2020,2582
Bangladesh,9/3/2020,2158
Bangladesh,9/4/2020,1929
Bangladesh,9/5/2020,1950
Bangladesh,9/6/2020,1592
Bangladesh,9/7/2020,2202
Bangladesh,9/8/2020,1892
Bangladesh,9/9/2020,1827
Bangladesh,9/10/2020,1892
Bangladesh,9/11/2020,1792
Bangladesh,9/12/2020,1282
Bangladesh,9/13/2020,1476
Bangladesh,9/14/2020,1812
Bangladesh,9/15/2020,1724
Bangladesh,9/16/2020,1615
Bangladesh,9/17/2020,1593
Bangladesh,9/18/2020,1541
Bangladesh,9/19/2020,1567
Bangladesh,9/20/2020,1546
Bangladesh,9/21/2020,1703
Bangladesh,9/22/2020,1557
Bangladesh,9/23/2020,1666
Bangladesh,9/24/2020,1540
Bangladesh,9/25/2020,1383
Bangladesh,9/26/2020,1106
Bangladesh,9/27/2020,1275
Bangladesh,9/28/2020,1407
Bangladesh,9/29/2020,1488
Bangladesh,9/30/2020,1436
Bangladesh,10/1/2020,1508
Bangladesh,10/2/2020,1396
Bangladesh,10/3/2020,1182
Bangladesh,10/4/2020,1125
Bangladesh,10/5/2020,1442
Bangladesh,10/6/2020,1499
Bangladesh,10/7/2020,1520
Bangladesh,10/8/2020,1441
Bangladesh,10/9/2020,1278
Bangladesh,10/10/2020,1203
Bangladesh,10/11/2020,1193
Bangladesh,10/12/2020,1472
Bangladesh,10/13/2020,1537
Bangladesh,10/14/2020,1684
Bangladesh,10/15/2020,1600
Bangladesh,10/16/2020,1527
Bangladesh,10/17/2020,1209
Bangladesh,10/18/2020,1274
Bangladesh,10/19/2020,1637
Bangladesh,10/20/2020,1380
Bangladesh,10/21/2020,1545
Bangladesh,10/22/2020,1696
Bangladesh,10/23/2020,1586
Bangladesh,10/24/2020,1094
Bangladesh,10/25/2020,1308
Bangladesh,10/26/2020,1436
Bangladesh,10/27/2020,1335
Bangladesh,10/28/2020,1493
Bangladesh,10/29/2020,1681
Bangladesh,10/30/2020,1604
Bangladesh,10/31/2020,1320
Bangladesh,11/1/2020,1568
Bangladesh,11/2/2020,1736
Bangladesh,11/3/2020,1659
Bangladesh,11/4/2020,1517
Bangladesh,11/5/2020,1842
Bangladesh,11/6/2020,1469
Bangladesh,11/7/2020,1289
Bangladesh,11/8/2020,1474
Bangladesh,11/9/2020,1683
Bangladesh,11/10/2020,1699
Bangladesh,11/11/2020,1733
Bangladesh,11/12/2020,1845
Bangladesh,11/13/2020,1767
Bangladesh,11/14/2020,1531
Bangladesh,11/15/2020,1837
Bangladesh,11/16/2020,2139
Bangladesh,11/17/2020,2212
Bangladesh,11/18/2020,2111
Bangladesh,11/19/2020,2364
Bangladesh,11/20/2020,2275
Bangladesh,11/21/2020,1847
Bangladesh,11/22/2020,2060
Bangladesh,11/23/2020,2419
Bangladesh,11/24/2020,2230
Bangladesh,11/25/2020,2156
Bangladesh,11/26/2020,2292
Bangladesh,11/27/2020,2273
Bangladesh,11/28/2020,1908
Bangladesh,11/29/2020,1788
Bangladesh,11/30/2020,2525
Bangladesh,12/1/2020,2293
Bangladesh,12/2/2020,2198
Bangladesh,12/3/2020,2316
Bangladesh,12/4/2020,2252
Bangladesh,12/5/2020,1798
Bangladesh,12/6/2020,1756
Bangladesh,12/7/2020,2198
Bangladesh,12/8/2020,2202
Bangladesh,12/9/2020,2159
Bangladesh,12/10/2020,1861
Bangladesh,12/11/2020,1884
Bangladesh,12/12/2020,1329
Bangladesh,12/13/2020,1355
Bangladesh,12/14/2020,1799
Bangladesh,12/15/2020,1877
Bangladesh,12/16/2020,1632
Bangladesh,12/17/2020,1134
Bangladesh,12/18/2020,1318
Bangladesh,12/19/2020,1267
Bangladesh,12/20/2020,1153
Bangladesh,12/21/2020,1470
Bangladesh,12/22/2020,1318
Bangladesh,12/23/2020,1367
Bangladesh,12/24/2020,1234
Bangladesh,12/25/2020,1163
Bangladesh,12/26/2020,834
Bangladesh,12/27/2020,1049
Bangladesh,12/28/2020,932
Bangladesh,12/29/2020,1181
Bangladesh,12/30/2020,1235
Bangladesh,12/31/2020,1014
Bangladesh,1/1/2021,990
Bangladesh,1/2/2021,684
Bangladesh,1/3/2021,835
Bangladesh,1/4/2021,910
Bangladesh,1/5/2021,991
Bangladesh,1/6/2021,978
Bangladesh,1/7/2021,1007
Bangladesh,1/8/2021,785
Bangladesh,1/9/2021,692
Bangladesh,1/10/2021,1071
Bangladesh,1/11/2021,849
Bangladesh,1/12/2021,718
Bangladesh,1/13/2021,890
Bangladesh,1/14/2021,813
Bangladesh,1/15/2021,762
Bangladesh,1/16/2021,578
Bangladesh,1/17/2021,569
Bangladesh,1/18/2021,697
Bangladesh,1/19/2021,702
Bangladesh,1/20/2021,656
Bangladesh,1/21/2021,584
Bangladesh,1/22/2021,619
Bangladesh,1/23/2021,436
Bangladesh,1/24/2021,473
Bangladesh,1/25/2021,602
