group,variable,value
USA,Jan,30
USA,Feb,95
USA,Mar,22
USA,Apr,14
USA,May,59
USA,Jun,52
USA,Jul,88
USA,Aug,20
USA,Sep,99
USA,Oct,66
USA,Nov,2
USA,Dec,2
India,Jan,81
India,Feb,81
India,Mar,37
India,Apr,50
India,May,81
India,Jun,79
India,Jul,84
India,Aug,91
India,Sep,82
India,Oct,89
India,Nov,6
India,Dec,67
C,Jan,96
C,Feb,13
C,Mar,98
C,Apr,10
C,May,86
C,Jun,23
C,Jul,74
C,Aug,47
C,Sep,73
C,Oct,40
C,Nov,75
C,Dec,18
D,Jan,92
D,Feb,43
D,Mar,16
D,Apr,27
D,May,76
D,Jun,24
D,Jul,1
D,Aug,87
D,Sep,44
D,Oct,29
D,Nov,58
D,Dec,55
E,Jan,65
E,Feb,56
E,Mar,9
E,Apr,78
E,May,49
E,Jun,36
E,Jul,35
E,Aug,80
E,Sep,8
E,Oct,46
E,Nov,48
E,Dec,100
F,Jan,17
F,Feb,41
F,Mar,33
F,Apr,11
F,May,77
F,Jun,62
F,Jul,94
F,Aug,15
F,Sep,69
F,Oct,63
F,Nov,61
F,Dec,54
G,Jan,38
G,Feb,93
G,Mar,39
G,Apr,26
G,May,90
G,Jun,83
G,Jul,31
G,Aug,2
G,Sep,51
G,Oct,28
G,Nov,42
G,Dec,7
H,Jan,5
H,Feb,60
H,Mar,21
H,Apr,25
H,May,3
H,Jun,70
H,Jul,34
H,Aug,68
H,Sep,57
H,Oct,32
H,Nov,19
H,Dec,85
J,Jan,53
J,Feb,45
J,Mar,71
J,Apr,64
J,May,4
J,Jun,12
J,Jul,97
J,Aug,72
J,Sep,1
J,Oct,25
J,Nov,50
J,Dec,75
