group,variable,value
Bangladesh,1,2293
Bangladesh,2,2198
Bangladesh,3,2316
Bangladesh,4,2252
Bangladesh,5,1798
Bangladesh,6,1756
Bangladesh,7,2198
Bangladesh,8,2202
Bangladesh,9,2159
Bangladesh,10,1861
Bangladesh,11,1884
Bangladesh,12,1329
Bangladesh,13,1355
Bangladesh,14,1799
Bangladesh,15,1877
Bangladesh,16,1632
Bangladesh,17,1134
Bangladesh,18,1318
Bangladesh,19,1267
Bangladesh,20,1153
Bangladesh,21,1470
Bangladesh,22,1318
Bangladesh,23,1367
Bangladesh,24,1234
Bangladesh,25,1163
Bangladesh,26,834
Bangladesh,27,1049
Bangladesh,28,932
Bangladesh,29,1181
Bangladesh,30,1235
Bangladesh,31,1014
Brazil,1,50909
Brazil,2,49863
Brazil,3,50434
Brazil,4,46884
Brazil,5,43209
Brazil,6,26363
Brazil,7,20371
Brazil,8,51088
Brazil,9,53453
Brazil,10,53347
Brazil,11,54428
Brazil,12,43900
Brazil,13,21825
Brazil,14,25193
Brazil,15,42889
Brazil,16,70574
Brazil,17,69826
Brazil,18,52544
Brazil,19,50177
Brazil,20,25445
Brazil,21,25019
Brazil,22,55202
Brazil,23,46696
Brazil,24,58428
Brazil,25,24615
Brazil,26,17246
Brazil,27,18479
Brazil,28,20548
Brazil,29,58718
Brazil,30,55649
Brazil,31,56773
China,1,9
China,2,17
China,3,18
China,4,15
China,5,18
China,6,15
China,7,15
China,8,12
China,9,12
China,10,15
China,11,13
China,12,24
China,13,16
China,14,17
China,15,12
China,16,7
China,17,12
China,18,17
China,19,23
China,20,23
China,21,15
China,22,15
China,23,17
China,24,14
China,25,20
China,26,22
China,27,21
China,28,27
China,29,24
China,30,25
China,31,19
India,1,36604
India,2,35551
India,3,36595
India,4,36652
India,5,36011
India,6,32981
India,7,26567
India,8,32080
India,9,31521
India,10,29373
India,11,30031
India,12,30254
India,13,27071
India,14,22065
India,15,26382
India,16,24010
India,17,22890
India,18,25152
India,19,26624
India,20,24337
India,21,19556
India,22,23950
India,23,24712
India,24,23067
India,25,22273
India,26,18732
India,27,20021
India,28,16432
India,29,20549
India,30,21822
India,31,0
Indonesia,1,5092
Indonesia,2,5533
Indonesia,3,8369
Indonesia,4,5803
Indonesia,5,6027
Indonesia,6,6089
Indonesia,7,5754
Indonesia,8,5292
Indonesia,9,6058
Indonesia,10,6033
Indonesia,11,6310
Indonesia,12,6388
Indonesia,13,6189
Indonesia,14,5489
Indonesia,15,6120
Indonesia,16,6725
Indonesia,17,7354
Indonesia,18,6689
Indonesia,19,7751
Indonesia,20,6982
Indonesia,21,6848
Indonesia,22,6347
Indonesia,23,7514
Indonesia,24,7199
Indonesia,25,7259
Indonesia,26,6740
Indonesia,27,6528
Indonesia,28,5854
Indonesia,29,7903
Indonesia,30,8002
Indonesia,31,8074
Mexico,1,8819
Mexico,2,11251
Mexico,3,11030
Mexico,4,12127
Mexico,5,11625
Mexico,6,7455
Mexico,7,6399
Mexico,8,11006
Mexico,9,11974
Mexico,10,11897
Mexico,11,12253
Mexico,12,12057
Mexico,13,8608
Mexico,14,5930
Mexico,15,11228
Mexico,16,10297
Mexico,17,11799
Mexico,18,12248
Mexico,19,12129
Mexico,20,6870
Mexico,21,5370
Mexico,22,12511
Mexico,23,11653
Mexico,24,12485
Mexico,25,9679
Mexico,26,4974
Mexico,27,6217
Mexico,28,5996
Mexico,29,12099
Mexico,30,12406
Mexico,31,12159
Nigeria,1,281
Nigeria,2,122
Nigeria,3,343
Nigeria,4,324
Nigeria,5,310
Nigeria,6,318
Nigeria,7,390
Nigeria,8,550
Nigeria,9,474
Nigeria,10,675
Nigeria,11,796
Nigeria,12,617
Nigeria,13,418
Nigeria,14,199
Nigeria,15,758
Nigeria,16,930
Nigeria,17,1145
Nigeria,18,806
Nigeria,19,920
Nigeria,20,501
Nigeria,21,356
Nigeria,22,999
Nigeria,23,1133
Nigeria,24,1041
Nigeria,25,784
Nigeria,26,829
Nigeria,27,838
Nigeria,28,397
Nigeria,29,749
Nigeria,30,1016
Nigeria,31,1031
Pakistan,1,2829
Pakistan,2,3499
Pakistan,3,3262
Pakistan,4,3119
Pakistan,5,3308
Pakistan,6,3795
Pakistan,7,2885
Pakistan,8,2963
Pakistan,9,3138
Pakistan,10,3047
Pakistan,11,2729
Pakistan,12,3369
Pakistan,13,2362
Pakistan,14,2459
Pakistan,15,2731
Pakistan,16,2545
Pakistan,17,2972
Pakistan,18,3179
Pakistan,19,2615
Pakistan,20,1680
Pakistan,21,1704
Pakistan,22,2142
Pakistan,23,2256
Pakistan,24,2152
Pakistan,25,2260
Pakistan,26,1853
Pakistan,27,1974
Pakistan,28,1776
Pakistan,29,2155
Pakistan,30,2475
Pakistan,31,2463
Russia,1,26126
Russia,2,25043
Russia,3,27829
Russia,4,27078
Russia,5,28450
Russia,6,28701
Russia,7,27798
Russia,8,25752
Russia,9,25838
Russia,10,27562
Russia,11,28206
Russia,12,27729
Russia,13,27651
Russia,14,26902
Russia,15,26265
Russia,16,26074
Russia,17,27787
Russia,18,28116
Russia,19,27772
Russia,20,28510
Russia,21,28917
Russia,22,28340
Russia,23,26814
Russia,24,29499
Russia,25,28595
Russia,26,28833
Russia,27,27849
Russia,28,27363
Russia,29,26588
Russia,30,26095
Russia,31,27329
USA,1,188339
USA,2,202894
USA,3,223421
USA,4,232644
USA,5,215811
USA,6,181253
USA,7,194409
USA,8,224452
USA,9,222648
USA,10,231428
USA,11,240089
USA,12,217797
USA,13,187971
USA,14,194314
USA,15,208992
USA,16,246644
USA,17,239900
USA,18,251832
USA,19,192102
USA,20,188015
USA,21,198703
USA,22,198107
USA,23,229624
USA,24,194155
USA,25,97880
USA,26,226416
USA,27,155845
USA,28,174152
USA,29,200408
USA,30,233701
USA,31,235600
