group,variable,original
Bangladesh,1,0
Bangladesh,2,0
Bangladesh,3,0
Bangladesh,4,0
Bangladesh,5,0
Bangladesh,6,0
Bangladesh,7,0
Bangladesh,8,0
Bangladesh,9,0
Bangladesh,10,0
Bangladesh,11,0
Bangladesh,12,0
Bangladesh,13,0
Bangladesh,14,0
Bangladesh,15,0
Bangladesh,16,0
Bangladesh,17,0
Bangladesh,18,0
Bangladesh,19,0
Bangladesh,20,0
Bangladesh,21,0
Bangladesh,22,0
Bangladesh,23,0
Bangladesh,24,0
Bangladesh,25,0
Bangladesh,26,0
Bangladesh,27,0
Bangladesh,28,0
Bangladesh,29,0
Brazil,1,0
Brazil,2,0
Brazil,3,0
Brazil,4,0
Brazil,5,0
Brazil,6,0
Brazil,7,0
Brazil,8,0
Brazil,9,0
Brazil,10,0
Brazil,11,0
Brazil,12,0
Brazil,13,0
Brazil,14,0
Brazil,15,0
Brazil,16,0
Brazil,17,0
Brazil,18,0
Brazil,19,0
Brazil,20,0
Brazil,21,0
Brazil,22,0
Brazil,23,0
Brazil,24,0
Brazil,25,0
Brazil,26,1
Brazil,27,0
Brazil,28,0
Brazil,29,1
China,1,2088
China,2,4737
China,3,3086
China,4,3989
China,5,3729
China,6,3144
China,7,3522
China,8,2703
China,9,3012
China,10,2516
China,11,2021
China,12,372
China,13,15133
China,14,6460
China,15,2055
China,16,2099
China,17,1918
China,18,1775
China,19,407
China,20,453
China,21,473
China,22,1450
China,23,16
China,24,214
China,25,508
China,26,405
China,27,433
China,28,326
China,29,427
India,1,0
India,2,1
India,3,1
India,4,0
India,5,0
India,6,0
India,7,0
India,8,0
India,9,0
India,10,0
India,11,0
India,12,0
India,13,0
India,14,0
India,15,0
India,16,0
India,17,0
India,18,0
India,19,0
India,20,0
India,21,0
India,22,0
India,23,0
India,24,0
India,25,0
India,26,0
India,27,0
India,28,0
India,29,0
Indonesia,1,0
Indonesia,2,0
Indonesia,3,0
Indonesia,4,0
Indonesia,5,0
Indonesia,6,0
Indonesia,7,0
Indonesia,8,0
Indonesia,9,0
Indonesia,10,0
Indonesia,11,0
Indonesia,12,0
Indonesia,13,0
Indonesia,14,0
Indonesia,15,0
Indonesia,16,0
Indonesia,17,0
Indonesia,18,0
Indonesia,19,0
Indonesia,20,0
Indonesia,21,0
Indonesia,22,0
Indonesia,23,0
Indonesia,24,0
Indonesia,25,0
Indonesia,26,0
Indonesia,27,0
Indonesia,28,0
Indonesia,29,0
Mexico,1,0
Mexico,2,0
Mexico,3,0
Mexico,4,0
Mexico,5,0
Mexico,6,0
Mexico,7,0
Mexico,8,0
Mexico,9,0
Mexico,10,0
Mexico,11,0
Mexico,12,0
Mexico,13,0
Mexico,14,0
Mexico,15,0
Mexico,16,0
Mexico,17,0
Mexico,18,0
Mexico,19,0
Mexico,20,0
Mexico,21,0
Mexico,22,0
Mexico,23,0
Mexico,24,0
Mexico,25,0
Mexico,26,0
Mexico,27,0
Mexico,28,1
Mexico,29,3
Nigeria,1,0
Nigeria,2,0
Nigeria,3,0
Nigeria,4,0
Nigeria,5,0
Nigeria,6,0
Nigeria,7,0
Nigeria,8,0
Nigeria,9,0
Nigeria,10,0
Nigeria,11,0
Nigeria,12,0
Nigeria,13,0
Nigeria,14,0
Nigeria,15,0
Nigeria,16,0
Nigeria,17,0
Nigeria,18,0
Nigeria,19,0
Nigeria,20,0
Nigeria,21,0
Nigeria,22,0
Nigeria,23,0
Nigeria,24,0
Nigeria,25,0
Nigeria,26,0
Nigeria,27,0
Nigeria,28,1
Nigeria,29,0
Pakistan,1,0
Pakistan,2,0
Pakistan,3,0
Pakistan,4,0
Pakistan,5,0
Pakistan,6,0
Pakistan,7,0
Pakistan,8,0
Pakistan,9,0
Pakistan,10,0
Pakistan,11,0
Pakistan,12,0
Pakistan,13,0
Pakistan,14,0
Pakistan,15,0
Pakistan,16,0
Pakistan,17,0
Pakistan,18,0
Pakistan,19,0
Pakistan,20,0
Pakistan,21,0
Pakistan,22,0
Pakistan,23,0
Pakistan,24,0
Pakistan,25,2
Pakistan,26,0
Pakistan,27,0
Pakistan,28,2
Pakistan,29,0
Russia,1,0
Russia,2,0
Russia,3,0
Russia,4,0
Russia,5,0
Russia,6,0
Russia,7,0
Russia,8,0
Russia,9,0
Russia,10,0
Russia,11,0
Russia,12,0
Russia,13,0
Russia,14,0
Russia,15,0
Russia,16,0
Russia,17,0
Russia,18,0
Russia,19,0
Russia,20,0
Russia,21,0
Russia,22,0
Russia,23,0
Russia,24,0
Russia,25,0
Russia,26,0
Russia,27,0
Russia,28,0
Russia,29,0
USA,1,0
USA,2,0
USA,3,3
USA,4,0
USA,5,0
USA,6,1
USA,7,0
USA,8,0
USA,9,0
USA,10,0
USA,11,1
USA,12,0
USA,13,1
USA,14,0
USA,15,0
USA,16,0
USA,17,0
USA,18,0
USA,19,0
USA,20,0
USA,21,2
USA,22,0
USA,23,0
USA,24,0
USA,25,0
USA,26,0
USA,27,1
USA,28,0
USA,29,8
