group,variable,value
Bangladesh,1,3775
Bangladesh,2,4019
Bangladesh,3,3114
Bangladesh,4,3288
Bangladesh,5,2738
Bangladesh,6,3201
Bangladesh,7,3027
Bangladesh,8,3489
Bangladesh,9,3360
Bangladesh,10,2949
Bangladesh,11,2686
Bangladesh,12,2666
Bangladesh,13,3099
Bangladesh,14,3163
Bangladesh,15,3533
Bangladesh,16,2733
Bangladesh,17,3034
Bangladesh,18,2709
Bangladesh,19,2459
Bangladesh,20,2928
Bangladesh,21,3057
Bangladesh,22,2744
Bangladesh,23,2856
Bangladesh,24,2548
Bangladesh,25,2520
Bangladesh,26,2275
Bangladesh,27,2772
Bangladesh,28,2960
Bangladesh,29,3009
Bangladesh,30,2695
Bangladesh,31,2772
Brazil,1,46712
Brazil,2,48105
Brazil,3,42223
Brazil,4,37923
Brazil,5,26051
Brazil,6,20229
Brazil,7,45305
Brazil,8,44571
Brazil,9,42619
Brazil,10,45048
Brazil,11,39023
Brazil,12,24831
Brazil,13,20286
Brazil,14,41857
Brazil,15,39924
Brazil,16,45403
Brazil,17,34177
Brazil,18,28532
Brazil,19,23529
Brazil,20,20257
Brazil,21,41008
Brazil,22,67860
Brazil,23,59961
Brazil,24,55891
Brazil,25,51147
Brazil,26,24578
Brazil,27,23284
Brazil,28,40816
Brazil,29,69074
Brazil,30,57837
Brazil,31,52383
China,1,3
China,2,5
China,3,3
China,4,8
China,5,4
China,6,1
China,7,14
China,8,9
China,9,0
China,10,0
China,11,13
China,12,8
China,13,0
China,14,9
China,15,1
China,16,14
China,17,17
China,18,16
China,19,21
China,20,11
China,21,13
China,22,25
China,23,21
China,24,34
China,25,46
China,26,61
China,27,68
China,28,101
China,29,105
China,30,127
China,31,45
India,1,19160
India,2,20903
India,3,22771
India,4,24850
India,5,24248
India,6,22251
India,7,22753
India,8,24879
India,9,26506
India,10,27114
India,11,28606
India,12,28732
India,13,28498
India,14,29429
India,15,32676
India,16,34975
India,17,35252
India,18,38697
India,19,40425
India,20,37132
India,21,37740
India,22,45720
India,23,49310
India,24,48916
India,25,48611
India,26,49981
India,27,44457
India,28,51596
India,29,50294
India,30,52783
India,31,61242
Indonesia,1,1385
Indonesia,2,1624
Indonesia,3,1301
Indonesia,4,1447
Indonesia,5,1607
Indonesia,6,1209
Indonesia,7,1268
Indonesia,8,1853
Indonesia,9,2657
Indonesia,10,1611
Indonesia,11,1671
Indonesia,12,1681
Indonesia,13,1282
Indonesia,14,1591
Indonesia,15,1522
Indonesia,16,1574
Indonesia,17,1462
Indonesia,18,1752
Indonesia,19,1639
Indonesia,20,1693
Indonesia,21,1655
Indonesia,22,1882
Indonesia,23,1906
Indonesia,24,1761
Indonesia,25,1868
Indonesia,26,1492
Indonesia,27,1525
Indonesia,28,1748
Indonesia,29,2381
Indonesia,30,1904
Indonesia,31,2040
Mexico,1,5681
Mexico,2,6741
Mexico,3,6740
Mexico,4,6914
Mexico,5,4683
Mexico,6,4902
Mexico,7,6258
Mexico,8,6995
Mexico,9,7280
Mexico,10,6891
Mexico,11,6094
Mexico,12,4482
Mexico,13,4685
Mexico,14,7051
Mexico,15,6149
Mexico,16,6406
Mexico,17,7257
Mexico,18,7615
Mexico,19,5311
Mexico,20,5172
Mexico,21,6859
Mexico,22,6019
Mexico,23,8438
Mexico,24,7573
Mexico,25,6751
Mexico,26,5480
Mexico,27,4973
Mexico,28,7208
Mexico,29,5752
Mexico,30,7730
Mexico,31,8458
Nigeria,1,790
Nigeria,2,626
Nigeria,3,454
Nigeria,4,603
Nigeria,5,544
Nigeria,6,575
Nigeria,7,503
Nigeria,8,460
Nigeria,9,499
Nigeria,10,575
Nigeria,11,664
Nigeria,12,571
Nigeria,13,595
Nigeria,14,463
Nigeria,15,643
Nigeria,16,595
Nigeria,17,600
Nigeria,18,653
Nigeria,19,556
Nigeria,20,562
Nigeria,21,576
Nigeria,22,543
Nigeria,23,604
Nigeria,24,591
Nigeria,25,438
Nigeria,26,555
Nigeria,27,648
Nigeria,28,624
Nigeria,29,404
Nigeria,30,481
Nigeria,31,462
Pakistan,1,4339
Pakistan,2,4087
Pakistan,3,0
Pakistan,4,3387
Pakistan,5,6535
Pakistan,6,2691
Pakistan,7,2980
Pakistan,8,3359
Pakistan,9,2751
Pakistan,10,2752
Pakistan,11,2521
Pakistan,12,2753
Pakistan,13,1979
Pakistan,14,2165
Pakistan,15,2145
Pakistan,16,0
Pakistan,17,4003
Pakistan,18,1579
Pakistan,19,1587
Pakistan,20,1013
Pakistan,21,1332
Pakistan,22,1763
Pakistan,23,1209
Pakistan,24,1487
Pakistan,25,1226
Pakistan,26,0
Pakistan,27,1176
Pakistan,28,936
Pakistan,29,1063
Pakistan,30,1114
Pakistan,31,903
Russia,1,6550
Russia,2,6752
Russia,3,6710
Russia,4,6623
Russia,5,6719
Russia,6,6569
Russia,7,6363
Russia,8,6534
Russia,9,6491
Russia,10,6623
Russia,11,6586
Russia,12,6587
Russia,13,6511
Russia,14,6240
Russia,15,6410
Russia,16,6415
Russia,17,6389
Russia,18,6214
Russia,19,6096
Russia,20,5901
Russia,21,5828
Russia,22,5850
Russia,23,5830
Russia,24,5779
Russia,25,5833
Russia,26,5741
Russia,27,5607
Russia,28,5380
Russia,29,5449
Russia,30,5484
Russia,31,5468
USA,1,51820
USA,2,56636
USA,3,51351
USA,4,45693
USA,5,50747
USA,6,43106
USA,7,60661
USA,8,60119
USA,9,62509
USA,10,68057
USA,11,60017
USA,12,58424
USA,13,58930
USA,14,68051
USA,15,68090
USA,16,75866
USA,17,72236
USA,18,62536
USA,19,60456
USA,20,62107
USA,21,64461
USA,22,70579
USA,23,68445
USA,24,73319
USA,25,64953
USA,26,54816
USA,27,56783
USA,28,66412
USA,29,71873
USA,30,67466
USA,31,68712
