group,variable,value
Bangladesh,1,0
Bangladesh,2,0
Bangladesh,3,0
Bangladesh,4,0
Bangladesh,5,0
Bangladesh,6,0
Bangladesh,7,0
Bangladesh,8,3
Bangladesh,9,0
Bangladesh,10,0
Bangladesh,11,0
Bangladesh,12,0
Bangladesh,13,0
Bangladesh,14,0
Bangladesh,15,2
Bangladesh,16,3
Bangladesh,17,2
Bangladesh,18,4
Bangladesh,19,3
Bangladesh,20,3
Bangladesh,21,5
Bangladesh,22,2
Bangladesh,23,6
Bangladesh,24,6
Bangladesh,25,0
Bangladesh,26,5
Bangladesh,27,4
Bangladesh,28,0
Bangladesh,29,0
Bangladesh,30,1
Bangladesh,31,2
Brazil,1,0
Brazil,2,0
Brazil,3,0
Brazil,4,2
Brazil,5,0
Brazil,6,9
Brazil,7,0
Brazil,8,7
Brazil,9,5
Brazil,10,6
Brazil,11,7
Brazil,12,14
Brazil,13,99
Brazil,14,0
Brazil,15,11
Brazil,16,38
Brazil,17,121
Brazil,18,51
Brazil,19,249
Brazil,20,172
Brazil,21,228
Brazil,22,525
Brazil,23,378
Brazil,24,323
Brazil,25,307
Brazil,26,431
Brazil,27,432
Brazil,28,487
Brazil,29,352
Brazil,30,323
Brazil,31,1138
China,1,575
China,2,200
China,3,125
China,4,120
China,5,151
China,6,151
China,7,79
China,8,47
China,9,36
China,10,22
China,11,28
China,12,8
China,13,8
China,14,26
China,15,21
China,16,20
China,17,18
China,18,25
China,19,27
China,20,46
China,21,38
China,22,86
China,23,24
China,24,63
China,25,46
China,26,78
China,27,49
China,28,60
China,29,43
China,30,35
China,31,49
India,1,0
India,2,2
India,3,0
India,4,23
India,5,2
India,6,1
India,7,3
India,8,5
India,9,4
India,10,13
India,11,6
India,12,11
India,13,9
India,14,20
India,15,11
India,16,6
India,17,23
India,18,14
India,19,38
India,20,50
India,21,86
India,22,66
India,23,103
India,24,37
India,25,121
India,26,70
India,27,160
India,28,100
India,29,37
India,30,227
India,31,146
Indonesia,1,0
Indonesia,2,2
Indonesia,3,0
Indonesia,4,0
Indonesia,5,0
Indonesia,6,2
Indonesia,7,0
Indonesia,8,2
Indonesia,9,13
Indonesia,10,8
Indonesia,11,7
Indonesia,12,0
Indonesia,13,35
Indonesia,14,27
Indonesia,15,21
Indonesia,16,17
Indonesia,17,38
Indonesia,18,55
Indonesia,19,84
Indonesia,20,58
Indonesia,21,81
Indonesia,22,64
Indonesia,23,65
Indonesia,24,107
Indonesia,25,104
Indonesia,26,103
Indonesia,27,153
Indonesia,28,109
Indonesia,29,130
Indonesia,30,129
Indonesia,31,114
Mexico,1,1
Mexico,2,0
Mexico,3,0
Mexico,4,0
Mexico,5,0
Mexico,6,1
Mexico,7,0
Mexico,8,1
Mexico,9,0
Mexico,10,0
Mexico,11,1
Mexico,12,4
Mexico,13,14
Mexico,14,15
Mexico,15,12
Mexico,16,29
Mexico,17,11
Mexico,18,25
Mexico,19,46
Mexico,20,39
Mexico,21,48
Mexico,22,65
Mexico,23,51
Mexico,24,38
Mexico,25,70
Mexico,26,110
Mexico,27,132
Mexico,28,131
Mexico,29,145
Mexico,30,101
Mexico,31,121
Nigeria,1,0
Nigeria,2,0
Nigeria,3,0
Nigeria,4,0
Nigeria,5,0
Nigeria,6,0
Nigeria,7,0
Nigeria,8,0
Nigeria,9,1
Nigeria,10,0
Nigeria,11,0
Nigeria,12,0
Nigeria,13,0
Nigeria,14,0
Nigeria,15,0
Nigeria,16,0
Nigeria,17,1
Nigeria,18,5
Nigeria,19,0
Nigeria,20,4
Nigeria,21,10
Nigeria,22,8
Nigeria,23,10
Nigeria,24,4
Nigeria,25,7
Nigeria,26,14
Nigeria,27,5
Nigeria,28,19
Nigeria,29,22
Nigeria,30,20
Nigeria,31,4
Pakistan,1,0
Pakistan,2,1
Pakistan,3,0
Pakistan,4,0
Pakistan,5,1
Pakistan,6,0
Pakistan,7,0
Pakistan,8,0
Pakistan,9,10
Pakistan,10,3
Pakistan,11,1
Pakistan,12,8
Pakistan,13,3
Pakistan,14,22
Pakistan,15,83
Pakistan,16,100
Pakistan,17,63
Pakistan,18,155
Pakistan,19,47
Pakistan,20,229
Pakistan,21,46
Pakistan,22,99
Pakistan,23,97
Pakistan,24,91
Pakistan,25,138
Pakistan,26,172
Pakistan,27,122
Pakistan,28,102
Pakistan,29,120
Pakistan,30,221
Pakistan,31,180
Russia,1,0
Russia,2,1
Russia,3,0
Russia,4,0
Russia,5,1
Russia,6,9
Russia,7,0
Russia,8,4
Russia,9,0
Russia,10,3
Russia,11,0
Russia,12,8
Russia,13,17
Russia,14,14
Russia,15,4
Russia,16,27
Russia,17,24
Russia,18,33
Russia,19,52
Russia,20,54
Russia,21,53
Russia,22,61
Russia,23,71
Russia,24,57
Russia,25,163
Russia,26,182
Russia,27,196
Russia,28,228
Russia,29,270
Russia,30,302
Russia,31,501
USA,1,7
USA,2,23
USA,3,19
USA,4,33
USA,5,77
USA,6,53
USA,7,166
USA,8,116
USA,9,75
USA,10,188
USA,11,365
USA,12,439
USA,13,633
USA,14,759
USA,15,234
USA,16,1467
USA,17,1833
USA,18,2657
USA,19,4494
USA,20,6367
USA,21,5995
USA,22,8873
USA,23,11238
USA,24,10619
USA,25,12082
USA,26,17856
USA,27,18690
USA,28,19630
USA,29,18899
USA,30,22075
USA,31,26314
