group,variable,value
Bangladesh,1,1568
Bangladesh,2,1736
Bangladesh,3,1659
Bangladesh,4,1517
Bangladesh,5,1842
Bangladesh,6,1469
Bangladesh,7,1289
Bangladesh,8,1474
Bangladesh,9,1683
Bangladesh,10,1699
Bangladesh,11,1733
Bangladesh,12,1845
Bangladesh,13,1767
Bangladesh,14,1531
Bangladesh,15,1837
Bangladesh,16,2139
Bangladesh,17,2212
Bangladesh,18,2111
Bangladesh,19,2364
Bangladesh,20,2275
Bangladesh,21,1847
Bangladesh,22,2060
Bangladesh,23,2419
Bangladesh,24,2230
Bangladesh,25,2156
Bangladesh,26,2292
Bangladesh,27,2273
Bangladesh,28,1908
Bangladesh,29,1788
Bangladesh,30,2525
Brazil,1,10100
Brazil,2,8501
Brazil,3,11843
Brazil,4,23976
Brazil,5,0
Brazil,6,41156
Brazil,7,22380
Brazil,8,10554
Brazil,9,10917
Brazil,10,23973
Brazil,11,48655
Brazil,12,33922
Brazil,13,29070
Brazil,14,38307
Brazil,15,14134
Brazil,16,13371
Brazil,17,35294
Brazil,18,34091
Brazil,19,35918
Brazil,20,38397
Brazil,21,32622
Brazil,22,18615
Brazil,23,16207
Brazil,24,31100
Brazil,25,47898
Brazil,26,37614
Brazil,27,34130
Brazil,28,51922
Brazil,29,24468
Brazil,30,21138
China,1,24
China,2,49
China,3,17
China,4,28
China,5,36
China,6,33
China,7,28
China,8,33
China,9,22
China,10,17
China,11,15
China,12,8
China,13,18
China,14,13
China,15,8
China,16,14
China,17,9
China,18,12
China,19,17
China,20,16
China,21,17
China,22,11
China,23,22
China,24,5
China,25,21
China,26,5
China,27,6
China,28,11
China,29,18
China,30,12
India,1,45231
India,2,38310
India,3,46253
India,4,50210
India,5,47638
India,6,50356
India,7,45674
India,8,45903
India,9,38073
India,10,44281
India,11,47905
India,12,44879
India,13,44684
India,14,41100
India,15,30548
India,16,29163
India,17,38617
India,18,45576
India,19,45882
India,20,46232
India,21,45209
India,22,44059
India,23,37975
India,24,44376
India,25,44489
India,26,43082
India,27,41322
India,28,41810
India,29,38772
India,30,31118
Indonesia,1,2696
Indonesia,2,2618
Indonesia,3,2973
Indonesia,4,3356
Indonesia,5,4065
Indonesia,6,3778
Indonesia,7,4262
Indonesia,8,3880
Indonesia,9,2853
Indonesia,10,3779
Indonesia,11,3770
Indonesia,12,4173
Indonesia,13,5444
Indonesia,14,5272
Indonesia,15,4106
Indonesia,16,3535
Indonesia,17,3807
Indonesia,18,4265
Indonesia,19,4798
Indonesia,20,4792
Indonesia,21,4998
Indonesia,22,4360
Indonesia,23,4442
Indonesia,24,4192
Indonesia,25,5534
Indonesia,26,4917
Indonesia,27,5828
Indonesia,28,5418
Indonesia,29,6267
Indonesia,30,4617
Mexico,1,4430
Mexico,2,3763
Mexico,3,5250
Mexico,4,5225
Mexico,5,5567
Mexico,6,5931
Mexico,7,6810
Mexico,8,5887
Mexico,9,4960
Mexico,10,5746
Mexico,11,7646
Mexico,12,5658
Mexico,13,5558
Mexico,14,5860
Mexico,15,3269
Mexico,16,2874
Mexico,17,1757
Mexico,18,3918
Mexico,19,4472
Mexico,20,6426
Mexico,21,6719
Mexico,22,9187
Mexico,23,7483
Mexico,24,10794
Mexico,25,10335
Mexico,26,8107
Mexico,27,12081
Mexico,28,10728
Mexico,29,5668
Mexico,30,6472
Nigeria,1,111
Nigeria,2,72
Nigeria,3,137
Nigeria,4,155
Nigeria,5,180
Nigeria,6,223
Nigeria,7,59
Nigeria,8,300
Nigeria,9,94
Nigeria,10,152
Nigeria,11,180
Nigeria,12,212
Nigeria,13,156
Nigeria,14,112
Nigeria,15,152
Nigeria,16,157
Nigeria,17,152
Nigeria,18,236
Nigeria,19,146
Nigeria,20,143
Nigeria,21,246
Nigeria,22,155
Nigeria,23,56
Nigeria,24,168
Nigeria,25,198
