group,variable,value
Bangladesh,1,1950
Bangladesh,2,2582
Bangladesh,3,2158
Bangladesh,4,1929
Bangladesh,5,1950
Bangladesh,6,1592
Bangladesh,7,2202
Bangladesh,8,1892
Bangladesh,9,1827
Bangladesh,10,1892
Bangladesh,11,1792
Bangladesh,12,1282
Bangladesh,13,1476
Bangladesh,14,1812
Bangladesh,15,1724
Bangladesh,16,1615
Bangladesh,17,1593
Bangladesh,18,1541
Bangladesh,19,1567
Bangladesh,20,1546
Bangladesh,21,1703
Bangladesh,22,1557
Bangladesh,23,1666
Bangladesh,24,1540
Bangladesh,25,1383
Bangladesh,26,1106
Bangladesh,27,1275
Bangladesh,28,1407
Bangladesh,29,1488
Bangladesh,30,1436
Brazil,1,42659
Brazil,2,46934
Brazil,3,43773
Brazil,4,50163
Brazil,5,31199
Brazil,6,14521
Brazil,7,10273
Brazil,8,14279
Brazil,9,35816
Brazil,10,40557
Brazil,11,43718
Brazil,12,33523
Brazil,13,14768
Brazil,14,15155
Brazil,15,36653
Brazil,16,36820
Brazil,17,36303
Brazil,18,39797
Brazil,19,33057
Brazil,20,16389
Brazil,21,13411
Brazil,22,33324
Brazil,23,0
Brazil,24,66338
Brazil,25,31911
Brazil,26,28378
Brazil,27,14318
Brazil,28,13155
Brazil,29,32058
Brazil,30,33413
China,1,7
China,2,12
China,3,25
China,4,10
China,5,10
China,6,12
China,7,9
China,8,3
China,9,7
China,10,15
China,11,6
China,12,10
China,13,10
China,14,8
China,15,12
China,16,9
China,17,32
China,18,14
China,19,10
China,20,12
China,21,6
China,22,10
China,23,7
China,24,8
China,25,15
China,26,14
China,27,21
China,28,12
China,29,19
China,30,9
India,1,78357
India,2,83883
India,3,83341
India,4,86432
India,5,90632
India,6,90802
India,7,75809
India,8,89706
India,9,95735
India,10,96551
India,11,97570
India,12,94372
India,13,92071
India,14,83809
India,15,90123
India,16,97894
India,17,96424
India,18,93337
India,19,92605
India,20,86961
India,21,75083
India,22,83347
India,23,86508
India,24,86052
India,25,85362
India,26,88600
India,27,82170
India,28,70589
India,29,80472
India,30,86821
Indonesia,1,2775
Indonesia,2,3075
Indonesia,3,3622
Indonesia,4,3269
Indonesia,5,3128
Indonesia,6,3444
Indonesia,7,2880
Indonesia,8,3046
Indonesia,9,3307
Indonesia,10,3861
Indonesia,11,3737
Indonesia,12,3806
Indonesia,13,3636
Indonesia,14,3141
Indonesia,15,3507
Indonesia,16,3963
Indonesia,17,3635
Indonesia,18,3891
Indonesia,19,4168
Indonesia,20,3989
Indonesia,21,4176
Indonesia,22,4071
Indonesia,23,4465
Indonesia,24,4634
Indonesia,25,4823
Indonesia,26,4494
Indonesia,27,3874
Indonesia,28,3509
Indonesia,29,4002
Indonesia,30,4284
Mexico,1,6476
Mexico,2,4921
Mexico,3,5937
Mexico,4,6196
Mexico,5,6319
Mexico,6,4614
Mexico,7,3486
Mexico,8,5351
Mexico,9,4461
Mexico,10,5043
Mexico,11,5935
Mexico,12,5674
Mexico,13,4408
Mexico,14,3335
Mexico,15,4771
Mexico,16,4444
Mexico,17,3182
Mexico,18,4841
Mexico,19,5167
Mexico,20,3542
Mexico,21,2917
Mexico,22,4683
Mexico,23,4786
Mexico,24,5408
Mexico,25,5401
Mexico,26,5573
Mexico,27,3886
Mexico,28,3400
Mexico,29,4446
Mexico,30,5053
Nigeria,1,239
Nigeria,2,216
Nigeria,3,125
Nigeria,4,155
Nigeria,5,162
Nigeria,6,100
Nigeria,7,155
Nigeria,8,296
Nigeria,9,176
Nigeria,10,197
Nigeria,11,188
Nigeria,12,160
Nigeria,13,79
Nigeria,14,132
Nigeria,15,90
Nigeria,16,126
Nigeria,17,131
Nigeria,18,221
Nigeria,19,189
Nigeria,20,97
Nigeria,21,195
Nigeria,22,176
Nigeria,23,111
Nigeria,24,125
Nigeria,25,213
Nigeria,26,136
Nigeria,27,126
Nigeria,28,136
Nigeria,29,187
Nigeria,30,201
Pakistan,1,300
Pakistan,2,865
Pakistan,3,498
Pakistan,4,513
Pakistan,5,0
Pakistan,6,878
Pakistan,7,330
Pakistan,8,426
Pakistan,9,371
Pakistan,10,341
Pakistan,11,584
Pakistan,12,526
Pakistan,13,539
Pakistan,14,404
Pakistan,15,665
Pakistan,16,545
Pakistan,17,752
Pakistan,18,645
Pakistan,19,640
Pakistan,20,633
Pakistan,21,582
Pakistan,22,532
Pakistan,23,799
Pakistan,24,798
Pakistan,25,566
Pakistan,26,694
Pakistan,27,566
Pakistan,28,675
Pakistan,29,747
Pakistan,30,543
Russia,1,4670
Russia,2,4893
Russia,3,4958
Russia,4,5064
Russia,5,5144
Russia,6,5097
Russia,7,5106
Russia,8,5020
Russia,9,5172
Russia,10,5310
Russia,11,5421
Russia,12,5406
Russia,13,5361
Russia,14,5414
Russia,15,5435
Russia,16,5612
Russia,17,5667
Russia,18,5803
Russia,19,5960
Russia,20,6043
Russia,21,6090
Russia,22,6109
Russia,23,6330
Russia,24,6489
Russia,25,7112
Russia,26,7421
Russia,27,7764
Russia,28,8026
Russia,29,8129
Russia,30,8371
USA,1,41846
USA,2,41018
USA,3,44251
USA,4,50382
USA,5,43158
USA,6,31218
USA,7,23613
USA,8,27226
USA,9,34049
USA,10,36056
USA,11,47769
USA,12,41101
USA,13,34372
USA,14,34423
USA,15,39492
USA,16,39030
USA,17,45130
USA,18,49282
USA,19,42202
USA,20,38447
USA,21,51878
USA,22,39866
USA,23,39069
USA,24,47103
USA,25,48295
USA,26,44673
USA,27,37528
USA,28,33294
USA,29,43338
USA,30,39443
